t_dat,customer_id,article_id,price,sales_channel_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code,year,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
2019-07-14,15d87121e44e54c3247e21850f1c91ea9a59e53785b5f8f2f3e4e28abe7c5d7c,780297001,186.75,1,,,ACTIVE,NONE,31.0,6d3a4df8b97f8368d5a6de8337d38dda4d39a04c8c921485fe5fbbaa1bc4e1d2,2019,780297,Charlotte bralette laguna opt2,306,Bra,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Soft, non-wired bralette in lace with padded cups that shape the bust and provide good support. Wide lace-covered shoulder straps and a wide lace trim at the hem. No fasteners."
2020-05-24,05c534fc301fb38e7aaa550b86b5e24a5542414329c00f105fcefac0f402a905,898426001,103.09,1,1.0,1.0,ACTIVE,Regularly,31.0,582bd5f52512fa216c539e2d3dfb71ab3eb1a6439fe69c973b02ba8dfddb1f6b,2020,898426,Flirty Juniper Ear cuff,70,Earring,Accessories,1010016,Solid,5,Gold,5,Bright,15,Metal,4344,Jewellery,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Ear cuff in metal decorated with plastic rhinestones.
2019-06-08,6454b282e30260ca984f29df3dd04f104001e1c00412d27266ee5e878ff154bb,517762008,239.04,2,,,ACTIVE,NONE,32.0,49e5def3e4754500a03c6b8717382a1610fd458b789c812ddae65c26ce761a61,2019,517762,Mary DTP,92,Heeled sandals,Shoes,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,3528,Heels,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Sandals in imitation suede with straps over the foot and ribbed elastic around the heel. Imitation leather linings and insoles and rubber soles. Covered block heels, 6.5 cm."
2020-01-15,49f9d0a67fc66a125e9486989245328b331a87d39102fe26d42abd5e33732cc6,803757012,134.46,2,,,ACTIVE,NONE,35.0,5e98a80cb449c835fa1d0ea5d837be76841e54f6430c9f6acc49b9a7f73fe402,2020,803757,Bradley.,272,Trousers,Garment Lower body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Joggers in lightweight sweatshirt fabric made from a cotton blend with covered elastication and a drawstring at the waist. Tapered legs with jersey ribbing at the hems.
2019-07-16,f61eb3802c391b32eb545b042a74f234f51bac78ae6e1a9dc5a0e47a4b284cac,759731007,134.46,2,,,LEFT CLUB,NONE,24.0,96a9614c35d44a444930618fecfe1212c64461ab8f8a513d1cde0ad3fc4d0f5e,2019,759731,Max tee,255,T-shirt,Garment Upper body,1010017,Stripe,93,Dark Green,4,Dark,19,Green,5848,Jersey Fancy,F,Menswear,3,Menswear,21,Contemporary Casual,1005,Jersey Fancy,T-shirt in soft slub jersey made from a cotton blend with an open chest pocket and short slits in the sides.
2020-04-08,6685e6fb4c681459dd4a2c3c87024b6b5317e9ed73b60f9ebb9ff2e4fd174ae0,721435002,249.5,2,,,ACTIVE,NONE,26.0,228a86876b22895bf27921918352448101c1be1a99542885ba34fce4467bd1be,2020,721435,Love Espadrille,91,Sandals,Shoes,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Espadrilles with open sides, an adjustable strap with a metal buckle, elastication at the back, and a braided jute trim around the soles. Imitation leather linings and insoles, and fluted soles. Platform 4.5 cm."
2019-08-08,654c0a4e1d4c0d0adf83ebf2606b0610dd3c40f97eb06c49256c57ad9ca7da3e,772005006,76.94,2,,,ACTIVE,NONE,31.0,bf1c0f9ef58181f882c97afb3ef609f7f8dd7475d2d37eb39f522b81ec866dc8,2019,772005,Tilly.,255,T-shirt,Garment Upper body,1010016,Solid,43,Dark Red,4,Dark,18,Red,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Short-sleeved cotton jersey top in a relaxed fit with a slightly wider neckline and a rounded hem.
2020-09-07,40188a13ea726f51e6ec9943370be91ea5afae205a97414c72667f81f8742535,673677023,186.75,2,1.0,1.0,ACTIVE,Regularly,54.0,2cfa25fbf19f571a94732d7da8a47ebad54ef1d94e90a8ce455ca0bc9cc667fd,2020,673677,Henry polo (1),252,Sweater,Garment Upper body,1010010,Melange,13,Beige,2,Medium Dusty,11,Beige,1616,Knitwear,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1003,Knitwear,"Jumper in a soft, fine knit with a ribbed polo neck and ribbing at the cuffs and hem."
2020-04-30,9b6cccbff89ab1d0fab9355f7f4b504326097a0fb245ba5801f1d0aecb802be1,817181001,395.9,2,1.0,1.0,ACTIVE,Regularly,35.0,30931a214e664db1bd1acefbc013beaa81471a745249a8bcc1662012aac6f685,2020,817181,Sydney linen shirt dress,265,Dress,Garment Full body,1010017,Stripe,72,Blue,7,Medium,2,Blue,1310,Dress,A,Ladieswear,1,Ladieswear,6,Womens Casual,1013,Dresses Ladies,"Knee-length shirt dress in a linen and cotton weave with a collar, buttons down the front and a yoke with a pleat at the back. Flap chest pockets, 3/4-length sleeves with buttoned cuffs, a detachable tie belt at the waist, and slits in the sides. Unlined."
2018-11-09,16bfbdd605c9a77f0d8db53543c0680fc241e43804ec92f1effab5ab590b65c2,552370002,134.46,2,1.0,1.0,ACTIVE,Regularly,23.0,a45b64d451076753a479d3b1919b7cbe2e3021ee982e575932e865c79874dbd5,2018,552370,SKINNY PRICE,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,8917,Young Girl Denim,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1016,Trousers Denim,"Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly, fake front pockets, real back pockets and narrow hems."
2019-01-31,59d0bb336a90c8be2c19b4d2aef7f9eedc4a5ad1d1a7f2eada79d8c6c509c49d,469658009,165.83,2,,,ACTIVE,NONE,32.0,7890ce93e23d8e670cb386d7ad4f0bc73ec5eee12df09313b7fa0622a97a6dda,2019,469658,Spice Girl 3pk hipster,286,Underwear bottom,Underwear,1010020,Contrast,9,Black,4,Dark,5,Black,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Hipster briefs in microfibre with lace trims, a low waist, lined gusset, wide sides and cutaway coverage at the back."
2018-09-29,8494ebba9baf779b3850fcd55f931b6d16fe2aabaa373d33b7afc93e478c83a8,692202001,138.64,1,1.0,1.0,ACTIVE,Regularly,22.0,960ca2f498cce63959aa9c5022ef6a18b9d1d3cab7a52308f07d15e42412ee68,2018,692202,SPEED JAM SHIRT,259,Shirt,Garment Upper body,1010017,Stripe,71,Light Blue,3,Light,2,Blue,1543,Tops Woven,D,Divided,2,Divided,53,Divided Collection,1010,Blouses,"Straight-cut blouse in seersucker with embroidery, a collar, buttons down the front and 3/4-length sleeves with flounced cuffs."
2020-03-22,549983e70e5ab8278eb9be92f07e00c80926d8f104fb144b33b7812e255f4517,841383002,82.17,2,1.0,1.0,ACTIVE,Regularly,46.0,ba78cc5d9ced7b836eccf191bb841c1b20eb1311d64d6b1bc078db4a45b0fc52,2020,841383,Vanessa 2-pack,253,Vest top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Fitted strappy top in soft organic cotton jersey.
2020-09-17,9d1c5294a4fa0c31d14aa22d4eb9cc4caeddbf96c9cc3f06c8ffc58469ad4702,804992014,186.75,2,,,ACTIVE,NONE,58.0,63c43309804b5a3e6d5c45978b58aab5e67f2d5b814e99b2d58b2ccd411541ca,2020,804992,Izzy loose tee,255,T-shirt,Garment Upper body,1010010,Melange,92,Green,2,Medium Dusty,12,Grey,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Wide sports top in fast-drying functional fabric with a slightly wider neckline and short cap sleeves. Rounded and slightly longer at the back.
