age_group,club_member_status,fashion_news_frequency,product_group_name,price,clusters
Young Adult,ACTIVE,NONE,Underwear,186.75,1
Young Adult,ACTIVE,Regularly,Accessories,103.09,3
Young Adult,ACTIVE,NONE,Shoes,239.04,1
Young Adult,ACTIVE,NONE,Garment Lower body,134.46,1
Young Adult,LEFT CLUB,NONE,Garment Upper body,134.46,4
Young Adult,ACTIVE,NONE,Shoes,249.5,1
Young Adult,ACTIVE,NONE,Garment Upper body,76.94,1
Adult,ACTIVE,Regularly,Garment Upper body,186.75,0
Young Adult,ACTIVE,Regularly,Garment Full body,395.9,3
Young Adult,ACTIVE,Regularly,Garment Lower body,134.46,3
Young Adult,ACTIVE,NONE,Underwear,165.83,1
Young Adult,ACTIVE,Regularly,Garment Upper body,138.64,3
Adult,ACTIVE,Regularly,Garment Upper body,82.17,0
Elderly,ACTIVE,NONE,Garment Upper body,186.75,4
Adult,ACTIVE,NONE,Garment Upper body,197.21,4
Young Adult,ACTIVE,Regularly,Garment Lower body,237.16,3
Young Adult,ACTIVE,NONE,Underwear,186.75,1
Adult,ACTIVE,Regularly,Swimwear,134.46,0
Young Adult,ACTIVE,Regularly,Shoes,343.61,3
Young Adult,ACTIVE,Regularly,Garment Upper body,155.38,3
Young Adult,ACTIVE,Regularly,Underwear,134.46,3
Young Adult,ACTIVE,NONE,Underwear,218.12,1
Young Adult,ACTIVE,NONE,Garment Upper body,239.04,1
Young Adult,ACTIVE,Regularly,Garment Lower body,165.83,3
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Elderly,ACTIVE,NONE,Garment Lower body,341,4
Young Adult,ACTIVE,NONE,Garment Lower body,218.12,1
Adult,ACTIVE,NONE,Garment Lower body,239.04,4
Young Adult,ACTIVE,Regularly,Swimwear,165.83,3
Young Adult,ACTIVE,NONE,Nightwear,291.33,1
Elderly,ACTIVE,Regularly,Garment Upper body,239.04,0
Elderly,ACTIVE,NONE,Garment Upper body,124,4
Young Adult,ACTIVE,NONE,Garment Upper body,249.5,1
Adult,ACTIVE,Regularly,Garment Full body,186.75,0
Young Adult,ACTIVE,Regularly,Swimwear,134.46,3
Young Adult,ACTIVE,Regularly,Swimwear,291.33,3
Young Adult,ACTIVE,NONE,Garment Full body,186.75,1
Young Adult,ACTIVE,Regularly,Garment Upper body,61.26,3
Adult,ACTIVE,NONE,Garment Upper body,395.9,4
Young Adult,ACTIVE,Regularly,Garment Upper body,343.61,3
Elderly,ACTIVE,NONE,Garment Upper body,186.75,4
Young Adult,ACTIVE,NONE,Garment Full body,291.33,1
Young Adult,ACTIVE,NONE,Garment Lower body,552.77,1
Adult,ACTIVE,NONE,Garment Upper body,134.46,4
Young Adult,ACTIVE,Regularly,Garment Full body,343.61,3
Young Adult,ACTIVE,Regularly,Garment Upper body,165.83,3
Young Adult,ACTIVE,NONE,Garment Upper body,312.24,1
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Adult,ACTIVE,Regularly,Garment Upper body,134.46,0
Young Adult,ACTIVE,NONE,Garment Upper body,134.46,1
Young Adult,ACTIVE,Regularly,Socks & Tights,152.34,3
Adult,ACTIVE,Regularly,Swimwear,113.55,0
